opinion.	213.600000	0.600000
quand	214.400000	0.600000
j'en	215.200000	0.600000
rencontrais	216.000000	0.600000
une	216.800000	0.600000
qui	217.600000	0.600000
me	218.400000	0.600000
paraissait	219.200000	0.600000
un	220.000000	0.600000
peu	220.800000	0.600000
lucide,	221.600000	0.600000
je	222.400000	0.600000
faisais	223.200000	0.600000
l'expérience	224.000000	0.600000
sur	224.800000	0.600000
elle	225.600000	0.600000
de	226.400000	0.600000
mon	227.200000	0.600000
dessin	228.000000	0.600000
numéro	228.800000	0.600000
1	229.600000	0.600000
que	230.400000	0.600000
j'ai	231.200000	0.600000
toujours	232.000000	0.600000
conservé	232.800000	0.600000
je	233.600000	0.600000
voulais	234.400000	0.600000
savoir	235.200000	0.600000
si	236.000000	0.600000
elle	236.800000	0.600000
était	237.600000	0.600000
vraiment	238.400000	0.600000
compréhensive.	239.200000	0.600000
mais	240.000000	0.600000
toujours	240.800000	0.600000
elle	241.600000	0.600000
me	242.400000	0.600000
répondait	243.200000	0.600000
:	244.000000	0.600000
"c'est	244.800000	0.600000
un	245.600000	0.600000
chapeau."	246.400000	0.600000
alors	247.200000	0.600000
je	248.000000	0.600000
ne	248.800000	0.600000
lui	249.600000	0.600000
parlais	250.400000	0.600000
ni	251.200000	0.600000
de	252.000000	0.600000
serpents	252.800000	0.600000
boas,	253.600000	0.600000
ni	254.400000	0.600000
de	255.200000	0.600000
forêts	256.000000	0.600000
vierges,	256.800000	0.600000
ni	257.600000	0.600000
d'étoiles.	258.400000	0.600000
je	259.200000	0.600000
me	260.000000	0.600000
mettais	260.800000	0.600000
à	261.600000	0.600000
sa	262.400000	0.600000
portée.	263.200000	0.600000
je	264.000000	0.600000
lui	264.800000	0.600000
parlais	265.600000	0.600000
de	266.400000	0.600000
bridge,	267.200000	0.600000
de	268.000000	0.600000
golf,	268.800000	0.600000
de	269.600000	0.600000
politique	270.400000	0.600000
et	271.200000	0.600000
de	272.000000	0.600000
cravates.	272.800000	0.600000
et	273.600000	0.600000
la	274.400000	0.600000
grande	275.200000	0.600000
personne	276.000000	0.600000
était	276.800000	0.600000
bien	277.600000	0.600000
contente	278.400000	0.600000
de	279.200000	0.600000
connaître	280.000000	0.600000
un	280.800000	0.600000
homme	281.600000	0.600000
aussi	282.400000	0.600000
raisonnable...	283.200000	0.600000
j'ai	284.000000	0.600000
ainsi	284.800000	0.600000
vécu	285.600000	0.600000
seul,	286.400000	0.600000
sans	287.200000	0.600000
personne	288.000000	0.600000
avec	288.800000	0.600000
qui	289.600000	0.600000
parler	290.400000	0.600000
véritablement,	291.200000	0.600000
jusqu'à	292.000000	0.600000
une	292.800000	0.600000
panne	293.600000	0.600000
dans	294.400000	0.600000
le	295.200000	0.600000
désert	296.000000	0.600000
du	296.800000	0.600000
sahara,	297.600000	0.600000
il	298.400000	0.600000
y	299.200000	0.600000
a	300.000000	0.600000
six	300.800000	0.600000
ans.	301.600000	0.600000
quelque	302.400000	0.600000
chose	303.200000	0.600000
s'était	304.000000	0.600000
cassé	304.800000	0.600000
dans	305.600000	0.600000
mon	306.400000	0.600000
moteur.	307.200000	0.600000
et	308.000000	0.600000
comme	308.800000	0.600000
je	309.600000	0.600000
n'avais	310.400000	0.600000
avec	311.200000	0.600000
moi	312.000000	0.600000
ni	312.800000	0.600000
mécanicien,	313.600000	0.600000
ni	314.400000	0.600000
passagers,	315.200000	0.600000
je	316.000000	0.600000
me	316.800000	0.600000
préparai	317.600000	0.600000
à	318.400000	0.600000
essayer	319.200000	0.600000
de	320.000000	0.600000
réussir,	320.800000	0.600000
tout	321.600000	0.600000
seul,	322.400000	0.600000
une	323.200000	0.600000
réparation	324.000000	0.600000
difficile.	324.800000	0.600000
c'était	325.600000	0.600000
pour	326.400000	0.600000
moi	327.200000	0.600000
une	328.000000	0.600000
question	328.800000	0.600000
de	329.600000	0.600000
vie	330.400000	0.600000
ou	331.200000	0.600000
de	332.000000	0.600000
mort.	332.800000	0.600000
j'avais	333.600000	0.600000
à	334.400000	0.600000
peine	335.200000	0.600000
de	336.000000	0.600000
l'eau	336.800000	0.600000
à	337.600000	0.600000
boire	338.400000	0.600000
pour	339.200000	0.600000
huit	340.000000	0.600000
jours.	340.800000	0.600000
le	341.600000	0.600000
premier	342.400000	0.600000
soir	343.200000	0.600000
je	344.000000	0.600000
me	344.800000	0.600000
suis	345.600000	0.600000
donc	346.400000	0.600000
endormi	347.200000	0.600000
sur	348.000000	0.600000
le	348.800000	0.600000
sable	349.600000	0.600000
à	350.400000	0.600000
mille	351.200000	0.600000
milles	352.000000	0.600000
de	352.800000	0.600000
toute	353.600000	0.600000
terre	354.400000	0.600000
habitée.	355.200000	0.600000
j'étais	356.000000	0.600000
bien	356.800000	0.600000
plus	357.600000	0.600000
isolé	358.400000	0.600000
