word	onset	duration	trial_type
ne	37.900000000000006	0.25	{'kind': 'word', 'word': 'ne'}
voyais	38.20000000000001	0.25	{'kind': 'word', 'word': 'voyais'}
toujours	38.50000000000001	0.25	{'kind': 'word', 'word': 'toujours'}
rien.	38.80000000000001	0.25	{'kind': 'word', 'word': 'rien'}
Le	39.10000000000001	0.25	{'kind': 'word', 'word': 'Le'}
petit	39.400000000000006	0.25	{'kind': 'word', 'word': 'petit'}
prince	39.70000000000001	0.25	{'kind': 'word', 'word': 'prince'}
dit	40.00000000000001	0.25	{'kind': 'word', 'word': 'dit'}
encore,	40.30000000000001	0.25	{'kind': 'word', 'word': 'encore'}
après	40.60000000000001	0.25	{'kind': 'word', 'word': 'après'}
un	40.900000000000006	0.25	{'kind': 'word', 'word': 'un'}
silence:	41.20000000000001	0.25	{'kind': 'word', 'word': 'silence'}
"""tu"	41.50000000000001	0.25	{'kind': 'word', 'word': 'tu'}
as	41.80000000000001	0.25	{'kind': 'word', 'word': 'as'}
du	42.10000000000001	0.25	{'kind': 'word', 'word': 'du'}
bon	42.400000000000006	0.25	{'kind': 'word', 'word': 'bon'}
venin?	42.70000000000001	0.25	{'kind': 'word', 'word': 'venin'}
Tu	43.00000000000001	0.25	{'kind': 'word', 'word': 'Tu'}
es	43.30000000000001	0.25	{'kind': 'word', 'word': 'es'}
sûr	43.60000000000001	0.25	{'kind': 'word', 'word': 'sûr'}
de	43.900000000000006	0.25	{'kind': 'word', 'word': 'de'}
ne	44.20000000000001	0.25	{'kind': 'word', 'word': 'ne'}
pas	44.50000000000001	0.25	{'kind': 'word', 'word': 'pas'}
me	44.80000000000001	0.25	{'kind': 'word', 'word': 'me'}
faire	45.10000000000001	0.25	{'kind': 'word', 'word': 'faire'}
souffrir	45.40000000000001	0.25	{'kind': 'word', 'word': 'souffrir'}
"longtemps?"""	45.70000000000001	0.25	{'kind': 'word', 'word': 'longtemps'}
Je	46.00000000000001	0.25	{'kind': 'word', 'word': 'Je'}
fis	46.30000000000001	0.25	{'kind': 'word', 'word': 'fis'}
halte,	46.60000000000001	0.25	{'kind': 'word', 'word': 'halte'}
le	46.90000000000001	0.25	{'kind': 'word', 'word': 'le'}
coeur	47.20000000000001	0.25	{'kind': 'word', 'word': 'coeur'}
serré,	47.50000000000001	0.25	{'kind': 'word', 'word': 'serré'}
mais	47.80000000000001	0.25	{'kind': 'word', 'word': 'mais'}
je	48.10000000000001	0.25	{'kind': 'word', 'word': 'je'}
ne	48.40000000000001	0.25	{'kind': 'word', 'word': 'ne'}
comprenais	48.70000000000001	0.25	{'kind': 'word', 'word': 'comprenais'}
toujours	49.00000000000001	0.25	{'kind': 'word', 'word': 'toujours'}
pas.	49.30000000000001	0.25	{'kind': 'word', 'word': 'pas'}
"""maintenant,"	49.60000000000001	0.25	{'kind': 'word', 'word': 'maintenant'}
va-t'en,	49.90000000000001	0.25	{'kind': 'word', 'word': 'vaten'}
dit-il...	50.20000000000001	0.25	{'kind': 'word', 'word': 'ditil'}
Je	50.50000000000001	0.25	{'kind': 'word', 'word': 'Je'}
veux	50.80000000000001	0.25	{'kind': 'word', 'word': 'veux'}
"redescendre!"""	51.10000000000001	0.25	{'kind': 'word', 'word': 'redescendre'}
Alors	51.40000000000001	0.25	{'kind': 'word', 'word': 'Alors'}
j'abaissai	51.70000000000001	0.25	{'kind': 'word', 'word': 'jabaissai'}
moi-même	52.00000000000001	0.25	{'kind': 'word', 'word': 'moimême'}
les	52.30000000000001	0.25	{'kind': 'word', 'word': 'les'}
yeux	52.60000000000001	0.25	{'kind': 'word', 'word': 'yeux'}
vers	52.90000000000001	0.25	{'kind': 'word', 'word': 'vers'}
le	53.20000000000001	0.25	{'kind': 'word', 'word': 'le'}
pied	53.500000000000014	0.25	{'kind': 'word', 'word': 'pied'}
du	53.80000000000001	0.25	{'kind': 'word', 'word': 'du'}
mur,	54.10000000000001	0.25	{'kind': 'word', 'word': 'mur'}
et	54.40000000000001	0.25	{'kind': 'word', 'word': 'et'}
je	54.70000000000001	0.25	{'kind': 'word', 'word': 'je'}
fis	55.000000000000014	0.25	{'kind': 'word', 'word': 'fis'}
un	55.30000000000001	0.25	{'kind': 'word', 'word': 'un'}
bond!	55.60000000000001	0.25	{'kind': 'word', 'word': 'bond'}
Il	55.90000000000001	0.25	{'kind': 'word', 'word': 'Il'}
était	56.20000000000001	0.25	{'kind': 'word', 'word': 'était'}
là,	56.500000000000014	0.25	{'kind': 'word', 'word': 'là'}
dressé	56.80000000000001	0.25	{'kind': 'word', 'word': 'dressé'}
vers	57.10000000000001	0.25	{'kind': 'word', 'word': 'vers'}
le	57.40000000000001	0.25	{'kind': 'word', 'word': 'le'}
petit	57.70000000000001	0.25	{'kind': 'word', 'word': 'petit'}
prince,	58.000000000000014	0.25	{'kind': 'word', 'word': 'prince'}
un	58.30000000000001	0.25	{'kind': 'word', 'word': 'un'}
de	58.60000000000001	0.25	{'kind': 'word', 'word': 'de'}
ces	58.90000000000001	0.25	{'kind': 'word', 'word': 'ces'}
serpents	59.20000000000001	0.25	{'kind': 'word', 'word': 'serpents'}
jaunes	59.500000000000014	0.25	{'kind': 'word', 'word': 'jaunes'}
qui	59.80000000000001	0.25	{'kind': 'word', 'word': 'qui'}
vous	60.10000000000001	0.25	{'kind': 'word', 'word': 'vous'}
exécutent	60.40000000000001	0.25	{'kind': 'word', 'word': 'exécutent'}
en	60.70000000000001	0.25	{'kind': 'word', 'word': 'en'}
trente	61.000000000000014	0.25	{'kind': 'word', 'word': 'trente'}
secondes.	61.30000000000001	0.25	{'kind': 'word', 'word': 'secondes'}
Tout	61.60000000000001	0.25	{'kind': 'word', 'word': 'Tout'}
en	61.90000000000001	0.25	{'kind': 'word', 'word': 'en'}
fouillant	62.20000000000001	0.25	{'kind': 'word', 'word': 'fouillant'}
ma	62.500000000000014	0.25	{'kind': 'word', 'word': 'ma'}
poche	62.80000000000001	0.25	{'kind': 'word', 'word': 'poche'}
pour	63.10000000000001	0.25	{'kind': 'word', 'word': 'pour'}
