	Unnamed: 0	onset	duration	trial_type
1879	1879	96.93	0.5999999999999943	{'kind': 'word', 'word': 'personnes'}
1880	1880	98.3	0.1800000000000068	{'kind': 'word', 'word': 'les'}
1881	1881	98.48	0.2199999999999988	{'kind': 'word', 'word': 'grandes'}
1882	1882	98.7	0.539999999999992	{'kind': 'word', 'word': 'personnes'}
1883	1883	99.32	0.2700000000000102	{'kind': 'word', 'word': 'aiment'}
1884	1884	99.59	0.1499999999999914	{'kind': 'word', 'word': 'les'}
1885	1885	99.74	0.5400000000000063	{'kind': 'word', 'word': 'chiffres'}
1886	1886	101.02	0.1700000000000017	{'kind': 'word', 'word': 'quand'}
1887	1887	101.19	0.1000000000000085	{'kind': 'word', 'word': 'vous'}
1888	1888	101.29	0.1899999999999977	{'kind': 'word', 'word': 'leur'}
1889	1889	101.48	0.3499999999999943	{'kind': 'word', 'word': 'parlez'}
1890	1890	101.83	0.0700000000000073	{'kind': 'word', 'word': 'd'}
1891	1891	101.9	0.0799999999999983	{'kind': 'word', 'word': 'un'}
1892	1892	101.98	0.3299999999999983	{'kind': 'word', 'word': 'nouvel'}
1893	1893	102.31	0.3299999999999983	{'kind': 'word', 'word': 'ami'}
1894	1894	102.95	0.1700000000000017	{'kind': 'word', 'word': 'elles'}
1895	1895	103.12	0.0999999999999943	{'kind': 'word', 'word': 'ne'}
1896	1896	103.22	0.1500000000000056	{'kind': 'word', 'word': 'vous'}
1897	1897	103.37	0.519999999999996	{'kind': 'word', 'word': 'questionnent'}
1898	1898	103.89	0.4500000000000028	{'kind': 'word', 'word': 'jamais'}
1899	1899	104.34	0.1799999999999926	{'kind': 'word', 'word': 'sur'}
1900	1900	104.52	0.0600000000000022	{'kind': 'word', 'word': 'l'}
1901	1901	104.58	0.75	{'kind': 'word', 'word': 'essentiel'}
1902	1902	105.97	0.2800000000000011	{'kind': 'word', 'word': 'elles'}
1903	1903	106.25	0.0300000000000011	{'kind': 'word', 'word': 'ne'}
1904	1904	106.28	0.1200000000000045	{'kind': 'word', 'word': 'vous'}
1905	1905	106.4	0.2599999999999909	{'kind': 'word', 'word': 'disent'}
1906	1906	106.66	0.480000000000004	{'kind': 'word', 'word': 'jamais'}
1907	1907	107.7	0.1700000000000017	{'kind': 'word', 'word': 'quel'}
1908	1908	107.87	0.0799999999999983	{'kind': 'word', 'word': 'est'}
1909	1909	107.95	0.0999999999999943	{'kind': 'word', 'word': 'le'}
1910	1910	108.05	0.2300000000000039	{'kind': 'word', 'word': 'son'}
1911	1911	108.28	0.0699999999999931	{'kind': 'word', 'word': 'de'}
1912	1912	108.35	0.2100000000000079	{'kind': 'word', 'word': 'sa'}
1913	1913	108.56	0.2099999999999937	{'kind': 'word', 'word': 'voix'}
1914	1914	109.29	0.1699999999999875	{'kind': 'word', 'word': 'quels'}
1915	1915	109.46	0.2300000000000039	{'kind': 'word', 'word': 'sont'}
1916	1916	109.69	0.1400000000000005	{'kind': 'word', 'word': 'les'}
1917	1917	109.83	0.1599999999999966	{'kind': 'word', 'word': 'jeux'}
1918	1918	109.99	0.0700000000000073	{'kind': 'word', 'word': 'qu'}
1919	1919	110.06	0.1099999999999994	{'kind': 'word', 'word': 'il'}
1920	1920	110.17	0.6400000000000006	{'kind': 'word', 'word': 'préfère'}
1921	1921	111.26	0.0699999999999931	{'kind': 'word', 'word': 'est'}
1922	1922	111.33	0.1200000000000045	{'kind': 'word', 'word': '-ce'}
1923	1923	111.45	0.0699999999999931	{'kind': 'word', 'word': 'qu'}
1924	1924	111.52	0.1300000000000096	{'kind': 'word', 'word': 'il'}
1925	1925	111.65	0.5599999999999881	{'kind': 'word', 'word': 'collectionne'}
1926	1926	112.21	0.0900000000000034	{'kind': 'word', 'word': 'les'}
1927	1927	112.3	0.5400000000000063	{'kind': 'word', 'word': 'papillons'}
1928	1928	113.66	0.1700000000000017	{'kind': 'word', 'word': 'elles'}
1929	1929	113.83	0.1700000000000017	{'kind': 'word', 'word': 'vous'}
1930	1930	114.0	0.5400000000000063	{'kind': 'word', 'word': 'demandent'}
1931	1931	114.87	0.1899999999999977	{'kind': 'word', 'word': 'quel'}
1932	1932	115.06	0.1599999999999966	{'kind': 'word', 'word': 'âge'}
1933	1933	115.22	0.0799999999999983	{'kind': 'word', 'word': 'a'}
1934	1934	115.3	0.1500000000000056	{'kind': 'word', 'word': '-t'}
1935	1935	115.45	0.3400000000000034	{'kind': 'word', 'word': '-il'}
1936	1936	116.17	0.4200000000000017	{'kind': 'word', 'word': 'combien'}
1937	1937	116.59	0.039999999999992	{'kind': 'word', 'word': 'a'}
1938	1938	116.63	0.1500000000000056	{'kind': 'word', 'word': '-t'}
1939	1939	116.78	0.0799999999999983	{'kind': 'word', 'word': '-il'}
1940	1940	116.86	0.0700000000000073	{'kind': 'word', 'word': 'de'}
1941	1941	116.93	0.5099999999999909	{'kind': 'word', 'word': 'frères'}
1942	1942	117.72	0.4699999999999988	{'kind': 'word', 'word': 'combien'}
1943	1943	118.19	0.2400000000000091	{'kind': 'word', 'word': 'pèse'}
1944	1944	118.43	0.25	{'kind': 'word', 'word': '-t'}
1945	1945	118.68	0.1499999999999914	{'kind': 'word', 'word': '-il'}
1946	1946	119.4	0.3799999999999954	{'kind': 'word', 'word': 'combien'}
1947	1947	119.78	0.269999999999996	{'kind': 'word', 'word': 'gagne'}
1948	1948	120.05	0.2400000000000091	{'kind': 'word', 'word': 'son'}
1949	1949	120.29	0.3999999999999915	{'kind': 'word', 'word': 'père'}
1950	1950	121.89	0.2800000000000011	{'kind': 'word', 'word': 'alors'}
1951	1951	122.38	0.5600000000000023	{'kind': 'word', 'word': 'seulement'}
1952	1952	123.04	0.1999999999999886	{'kind': 'word', 'word': 'elles'}
1953	1953	123.24	0.25	{'kind': 'word', 'word': 'croient'}
1954	1954	123.49	0.1099999999999994	{'kind': 'word', 'word': 'le'}
1955	1955	123.6	0.6099999999999994	{'kind': 'word', 'word': 'connaître'}
1956	1956	124.91	0.2800000000000011	{'kind': 'word', 'word': 'si'}
