word	onset	duration	trial_type
exact,	74.30000000000001	0.25	{'kind': 'word', 'word': 'exact'}
dit	74.60000000000001	0.25	{'kind': 'word', 'word': 'dit'}
le	74.9	0.25	{'kind': 'word', 'word': 'le'}
géographe,	75.20000000000002	0.25	{'kind': 'word', 'word': 'géographe'}
mais	75.50000000000001	0.25	{'kind': 'word', 'word': 'mais'}
je	75.80000000000001	0.25	{'kind': 'word', 'word': 'je'}
ne	76.10000000000001	0.25	{'kind': 'word', 'word': 'ne'}
suis	76.4	0.25	{'kind': 'word', 'word': 'suis'}
pas	76.70000000000002	0.25	{'kind': 'word', 'word': 'pas'}
explorateur.	77.00000000000001	0.25	{'kind': 'word', 'word': 'explorateur'}
Je	77.80000000000001	0.25	{'kind': 'word', 'word': 'Je'}
manque	78.10000000000001	0.25	{'kind': 'word', 'word': 'manque'}
absolument	78.4	0.25	{'kind': 'word', 'word': 'absolument'}
d'explorateurs.	78.70000000000002	0.25	{'kind': 'word', 'word': 'dexplorateurs'}
Ce	79.50000000000001	0.25	{'kind': 'word', 'word': 'Ce'}
n'est	79.80000000000001	0.25	{'kind': 'word', 'word': 'nest'}
pas	80.10000000000001	0.25	{'kind': 'word', 'word': 'pas'}
le	80.4	0.25	{'kind': 'word', 'word': 'le'}
géographe	80.70000000000002	0.25	{'kind': 'word', 'word': 'géographe'}
qui	81.00000000000001	0.25	{'kind': 'word', 'word': 'qui'}
va	81.30000000000001	0.25	{'kind': 'word', 'word': 'va'}
faire	81.60000000000001	0.25	{'kind': 'word', 'word': 'faire'}
le	81.9	0.25	{'kind': 'word', 'word': 'le'}
compte	82.20000000000002	0.25	{'kind': 'word', 'word': 'compte'}
des	82.50000000000001	0.25	{'kind': 'word', 'word': 'des'}
villes,	82.80000000000001	0.25	{'kind': 'word', 'word': 'villes'}
des	83.10000000000001	0.25	{'kind': 'word', 'word': 'des'}
fleuves,	83.40000000000002	0.25	{'kind': 'word', 'word': 'fleuves'}
des	83.70000000000002	0.25	{'kind': 'word', 'word': 'des'}
montagnes,	84.00000000000001	0.25	{'kind': 'word', 'word': 'montagnes'}
des	84.30000000000001	0.25	{'kind': 'word', 'word': 'des'}
mers,	84.60000000000001	0.25	{'kind': 'word', 'word': 'mers'}
des	84.90000000000002	0.25	{'kind': 'word', 'word': 'des'}
océans	85.20000000000002	0.25	{'kind': 'word', 'word': 'océans'}
et	85.50000000000001	0.25	{'kind': 'word', 'word': 'et'}
des	85.80000000000001	0.25	{'kind': 'word', 'word': 'des'}
déserts.	86.10000000000001	0.25	{'kind': 'word', 'word': 'déserts'}
Le	86.90000000000002	0.25	{'kind': 'word', 'word': 'Le'}
géographe	87.20000000000002	0.25	{'kind': 'word', 'word': 'géographe'}
est	87.50000000000001	0.25	{'kind': 'word', 'word': 'est'}
trop	87.80000000000001	0.25	{'kind': 'word', 'word': 'trop'}
important	88.10000000000001	0.25	{'kind': 'word', 'word': 'important'}
pour	88.40000000000002	0.25	{'kind': 'word', 'word': 'pour'}
flâner.	88.70000000000002	0.25	{'kind': 'word', 'word': 'flâner'}
Il	89.50000000000001	0.25	{'kind': 'word', 'word': 'Il'}
ne	89.80000000000001	0.25	{'kind': 'word', 'word': 'ne'}
quitte	90.1	0.25	{'kind': 'word', 'word': 'quitte'}
pas	90.40000000000002	0.25	{'kind': 'word', 'word': 'pas'}
son	90.70000000000002	0.25	{'kind': 'word', 'word': 'son'}
bureau.	91.0	0.25	{'kind': 'word', 'word': 'bureau'}
Mais	91.8	0.25	{'kind': 'word', 'word': 'Mais'}
il	92.1	0.25	{'kind': 'word', 'word': 'il'}
y	92.40000000000002	0.25	{'kind': 'word', 'word': 'y'}
reçoit	92.70000000000002	0.25	{'kind': 'word', 'word': 'reçoit'}
les	93.0	0.25	{'kind': 'word', 'word': 'les'}
explorateurs.	93.3	0.25	{'kind': 'word', 'word': 'explorateurs'}
Il	94.1	0.25	{'kind': 'word', 'word': 'Il'}
les	94.40000000000002	0.25	{'kind': 'word', 'word': 'les'}
interroge,	94.70000000000002	0.25	{'kind': 'word', 'word': 'interroge'}
et	95.0	0.25	{'kind': 'word', 'word': 'et'}
il	95.3	0.25	{'kind': 'word', 'word': 'il'}
prend	95.6	0.25	{'kind': 'word', 'word': 'prend'}
en	95.90000000000002	0.25	{'kind': 'word', 'word': 'en'}
note	96.20000000000002	0.25	{'kind': 'word', 'word': 'note'}
leurs	96.5	0.25	{'kind': 'word', 'word': 'leurs'}
souvenirs.	96.8	0.25	{'kind': 'word', 'word': 'souvenirs'}
Et	97.6	0.25	{'kind': 'word', 'word': 'Et'}
