word	onset	duration
b	34.10000000000001	0.25
612.	34.400000000000006	0.25
Cet	35.2	0.25
astéroïde	35.50000000000001	0.25
n'a	35.800000000000004	0.25
été	36.10000000000001	0.25
aperçu	36.400000000000006	0.25
qu'une	36.70000000000001	0.25
fois	37.00000000000001	0.25
au	37.30000000000001	0.25
télescope,	37.60000000000001	0.25
en	37.900000000000006	0.25
1909,	38.20000000000001	0.25
par	38.50000000000001	0.25
un	38.80000000000001	0.25
astronome	39.10000000000001	0.25
turc.	39.400000000000006	0.25
Il	40.20000000000001	0.25
avait	40.50000000000001	0.25
fait	40.80000000000001	0.25
alors	41.10000000000001	0.25
une	41.400000000000006	0.25
grande	41.70000000000001	0.25
démonstration	42.00000000000001	0.25
de	42.30000000000001	0.25
sa	42.60000000000001	0.25
découverte	42.900000000000006	0.25
à	43.20000000000001	0.25
un	43.50000000000001	0.25
congrès	43.80000000000001	0.25
international	44.10000000000001	0.25
d'astronomie.	44.400000000000006	0.25
Mais	45.20000000000001	0.25
personne	45.50000000000001	0.25
ne	45.80000000000001	0.25
l'avait	46.10000000000001	0.25
cru	46.400000000000006	0.25
à	46.70000000000001	0.25
cause	47.00000000000001	0.25
de	47.30000000000001	0.25
son	47.60000000000001	0.25
costume.	47.900000000000006	0.25
Les	48.70000000000001	0.25
grandes	49.00000000000001	0.25
personnes	49.30000000000001	0.25
sont	49.60000000000001	0.25
comme	49.90000000000001	0.25
ça.	50.20000000000001	0.25
Heureusement	51.00000000000001	0.25
pour	51.30000000000001	0.25
la	51.60000000000001	0.25
réputation	51.90000000000001	0.25
de	52.20000000000001	0.25
l'astéroïde	52.50000000000001	0.25
b	52.80000000000001	0.25
612,	53.10000000000001	0.25
un	53.40000000000001	0.25
dictateur	53.70000000000001	0.25
turc	54.00000000000001	0.25
imposa	54.30000000000001	0.25
à	54.60000000000001	0.25
son	54.90000000000001	0.25
peuple,	55.20000000000001	0.25
sous	55.50000000000001	0.25
peine	55.80000000000001	0.25
de	56.10000000000001	0.25
mort,	56.40000000000001	0.25
de	56.70000000000001	0.25
s'habiller	57.00000000000001	0.25
à	57.30000000000001	0.25
l'européenne.	57.60000000000001	0.25
L'astronome	58.40000000000001	0.25
refit	58.70000000000001	0.25
sa	59.000000000000014	0.25
démonstration	59.30000000000001	0.25
en	59.60000000000001	0.25
1920,	59.90000000000001	0.25
dans	60.20000000000001	0.25
un	60.500000000000014	0.25
habit	60.80000000000001	0.25
très	61.10000000000001	0.25
élégant.	61.40000000000001	0.25
Et	62.20000000000001	0.25
cette	62.500000000000014	0.25
fois-ci	62.80000000000001	0.25
tout	63.10000000000001	0.25
le	63.40000000000001	0.25
monde	63.70000000000001	0.25
fut	64.00000000000001	0.25
de	64.30000000000001	0.25
son	64.60000000000001	0.25
avis.	64.9	0.25
Si	65.70000000000002	0.25
je	66.00000000000001	0.25
vous	66.30000000000001	0.25
ai	66.60000000000001	0.25
raconté	66.9	0.25
ces	67.20000000000002	0.25
détails	67.50000000000001	0.25
sur	67.80000000000001	0.25
l'astéroïde	68.10000000000001	0.25
b	68.4	0.25
612	68.70000000000002	0.25
et	69.00000000000001	0.25
si	69.30000000000001	0.25
je	69.60000000000001	0.25
vous	69.9	0.25
ai	70.20000000000002	0.25
confié	70.50000000000001	0.25
son	70.80000000000001	0.25
numéro,	71.10000000000001	0.25
c'est	71.4	0.25
à	71.70000000000002	0.25
