subject,run,offset,stretch
15,9,9978.6,1.0025628964219597
16,1,9376.95,1.0004051717038622
16,2,15435.89,1.0007835914085914
16,3,9126.94,1.001382017947538
16,4,11845.93,1.000472774962356
16,5,7763.92,1.0004595300261097
16,6,7940.87,1.0004828318964938
16,7,6655.88,1.0006679257450828
16,8,6752.9,1.000552102503559
16,9,8116.6,1.0006327577311767
17,1,6448.95,1.0019039776002636
17,2,7125.89,1.0008897352647352
17,3,7105.94,1.0007262425218593
17,4,8956.93,1.0010783154963327
17,5,10090.92,0.6191157528285466
17,6,6318.87,1.0009737334068565
17,7,13121.88,1.001977674390038
17,8,7091.9,1.0016719330532309
17,9,12097.6,1.0008497465934267
18,1,5075.95,0.999980235526641
18,2,5265.89,1.0008569555444555
18,3,5313.94,1.0004760124252186
18,4,5081.93,1.000484108608714
18,5,5088.92,1.0001253263707572
18,6,6483.87,1.0002003954110796
18,7,5197.88,1.000147404302363
18,8,4541.9,0.9996562380638216
18,9,5367.6,1.0002397499317168
19,1,7817.95,1.0013406901095283
19,2,8079.89,1.0009568556443558
19,3,11589.94,1.001755924988495
19,4,11593.93,1.0012742256690899
19,5,9007.92,1.0013559617058312
19,6,10558.87,1.0009804580850807
19,7,6410.88,1.0016552274786186
19,8,9524.9,1.0002187575957497
19,9,6392.6,1.000001517404631
20,1,14929.95,1.0002701144692414
20,2,7382.89,1.0014485514485514
20,3,7223.94,1.000339392544869
20,4,7080.93,1.0002930557129674
20,5,7144.92,1.0007293298520452
20,6,8177.87,1.000836549971084
20,7,6981.88,1.0009765535031554
20,8,7110.9,1.0004184173061565
20,9,6642.6,1.0006236533033899
21,1,6277.95,1.001149633533723
21,2,17169.89,1.0000156093906094
21,3,7469.94,1.0000244477680624
21,4,9734.93,1.0001926719880836
21,5,7322.92,1.0020835509138382
21,6,17141.87,1.0025984156658103
21,7,22677.88,1.0020882276168102
21,8,6446.9,0.9031077467967638
21,9,10832.6,1.0018315073897606
22,1,6009.95,1.001511982211974
22,2,12431.89,1.0008788086913087
22,3,13094.94,1.0018594684767603
22,4,6768.93,1.0013697521169633
22,5,8824.92,1.0003864229765014
22,6,10078.87,1.0014632899815745
22,7,14426.88,1.002094369462742
22,8,5860.9,1.0016354734539394
22,9,6366.6,1.0010105914843253
24,1,6288.95,1.0018990364819238
24,2,6003.89,1.0075908466533468
24,3,6733.94,1.000447250345145
24,4,5811.93,1.0012985120541424
24,5,5695.92,1.0012932985204526
24,6,5769.87,1.0009495245652495
24,7,6002.88,1.0004468192915381
24,8,6082.9,1.0016875585957845
24,9,6518.6,1.0019574519741434
25,1,5346.95,1.0010903401136457
25,2,6905.89,1.001148851148851
25,3,5751.94,1.000740623561896
25,4,4943.93,1.0004517267619772
25,5,5115.92,1.0011627502175806
25,6,6154.87,1.001110916842629
25,7,6883.88,1.0011945890337342
25,8,5686.9,1.0009149623250806
25,9,6591.6,1.0021076750326243
26,1,5183.95,1.0011101045870048
26,2,5513.89,1.0006555944055944
26,3,6164.94,1.0004012310170272
26,4,4526.93,1.0003238184673673
26,5,5164.92,1.0016588337684944
26,6,6008.87,1.000433069277635
26,7,5648.88,1.0007615888955426
26,8,5082.9,1.0000173617139483
26,9,4885.6,1.0013747685957939
27,1,5234.95,0.9999917648027671
27,2,5362.89,0.9999812687312688
27,3,4453.94,0.9999913713759779
27,4,5381.93,0.9999935236306526
27,5,4731.92,0.9999930374238468
