subject,run,offset,stretch
8,9,8.436,1.0001456708445875
9,1,6.174,1.001783743720662
9,2,3.5450000000000004,1.0010349025974026
9,3,-2.692,0.9996634836631385
9,4,12.658,1.0017615724624775
9,5,10.222,1.0014342906875544
9,6,5.273000000000001,1.0022218336852582
9,7,4.055,1.0020037772352481
9,8,4.058,1.0024618910378833
9,9,5.929,1.001018178507481
10,1,10.844999999999999,1.001207279914354
10,2,45.216,1.0015546953046952
10,3,10.811,1.0001064196962723
10,4,7.474,1.0003335330213883
10,5,7.0920000000000005,1.0014342906875544
10,6,27.197000000000003,1.0021895552297824
10,7,5.428999999999999,1.0003362660647659
10,8,11.290000000000001,1.0012222646619673
10,9,3.829,1.0004051470365087
11,1,90.12100000000001,1.0014905706991681
11,2,26.361,1.0010177322677323
11,3,20.66,1.000306316152784
11,4,18.536,1.0006735424121238
11,5,6.029,1.0019303742384682
11,6,5.252999999999999,1.0001116296585209
11,7,5.117,1.0007247378199517
11,8,3.555,0.9999930553144206
11,9,4.635999999999999,1.0011926800400597
12,1,2.013,1.0015152762908672
12,2,4.119,1.0019605394605393
12,3,4.172000000000001,1.000586746433502
12,4,2.783,1.0013454657319107
12,5,3.3680000000000003,1.0020104438642297
12,6,2.713,1.000165427084314
12,7,3.2089999999999996,1.0006756030524975
12,8,5.471,0.9995954720650021
12,9,4.07,1.0005629571181451
13,1,2.545,1.000589640121881
13,2,9.595,1.0006821303696305
13,3,10.841,1.03996491026231
13,4,4.547000000000001,1.0005602059485452
13,5,6.443999999999999,1.0000818102698
13,6,10.358,1.0007383696690113
13,7,15.229,1.0495846576688623
13,8,13.445000000000002,1.0009948262092434
13,9,5.795,1.0017283238748445
14,1,2.9370000000000003,1.0006736391336573
14,2,-2.7119999999999997,1.0013658216783217
14,3,2.9090000000000003,1.0010685112747353
14,4,2.6140000000000003,1.0014733740265207
14,5,4.211,1.000604003481288
14,6,4.058,1.0008553790701116
14,7,3.1399999999999997,1.0005358760575491
14,8,7.413,1.0015903329976734
14,9,5.937999999999999,1.0012746198901399
15,1,11.678999999999998,1.0014279832001978
15,2,5.905000000000001,1.001203484015984
15,3,12.853,1.0012540266912102
15,4,5.657,1.000778783414018
15,5,7.427,1.0013002610966057
15,6,6.844,1.0000013449356449
15,7,7.422999999999999,1.0014556174858353
15,8,5.937000000000001,1.0001788256536686
